Plant,Segment,BA,Type,Plant ID,Capacity(MW),Zone,
Martin lake,Texas,ERCOT,Coal,6146,2250,North,
Forney,Texas,ERCOT,Gas CCGT,55480,1912,North,
Oak Grove,Texas,ERCOT,Coal,6180,1600,North,
Midlothian,Texas,ERCOT,Gas CCGT,55091,1596,North,
Hanging Rock,East,PJM,Gas CCGT,55736,1430,AEP,
Kendall,East,PJM,Gas CCGT,55131,1288,COMED,
Independence,East,NYISO,Gas CCGT,54547,1212,ME,
Baldwin - MISO,Sunset,MISO,Coal,889,1185,Zone 4,
Kincaid,Sunset,PJM,Coal,876,1108,COMED,
Lamar,Texas,ERCOT,Gas CCGT,55097,1076,North,
Odessa,Texas,ERCOT,Gas CCGT,55215,1054,West,
Hays,Texas,ERCOT,Gas CCGT,55144,1047,South,
Moss landing 1&2,West,CAISO,Gas CCGT,260,1020,NP-15,
Lake Hubbard,Texas,ERCOT,Gas ST/CT,3452,921,North,
Lake Road,East,ISO-NE,Gas CCGT,55149,827,CT,
Wise,Texas,ERCOT,Gas CCGT,55320,787,North,
Fayette,East,PJM,Gas CCGT,55516,726,APS,
Washington,East,PJM,Gas CCGT,55397,711,AEP,
Stryker Creek,Texas,ERCOT,Gas ST/CT,3504,685,North,
Coleto Creek - ERCOT,Sunset,ERCOT,Coal,6178,650,South,
Graham,Texas,ERCOT,Gas ST/CT,3490,630,West,
Netwton - MISO,Sunset,MISO,Coal,6017,615,Zone 4,
Liberty,East,PJM,Gas CCGT,55231,607,PECO,
Ontelaunee,East,PJM,Gas CCGT,55193,600,METED,
Milford,East,ISO-NE,Gas CCGT,55126,600,CT,
Bellingham,East,ISO-NE,Gas CCGT,55211,566,MA (SE),
Blackstone,East,ISO-NE,Gas CCGT,55212,544,MA (NE),
Casco Bay,East,ISO-NE,,55068,543,ME,
Richland,East,PJM,Gas CT,2880,423,ATSI,
Morgan Creek,Texas,ERCOT,Gas ST/CT,3492,390,West,
Pleasants,East,PJM,Gas CT,55349,388,APS,
Calumet,East,PJM,Gas CT,55296,380,COMED,
Hopewell,East,PJM,Gas CCGT,10633,370,DOM,
Ennis,Texas,ERCOT,Gas CCGT,55223,366,North,
Sayreville,East,PJM,Gas CCGT,10308,349,PSEG,
Permian Basin,Texas,ERCOT,Gas ST/CT,3494,325,West,
Masspower,East,ISO-NE,Gas CCGT,10726,281,MA (W),
Decordova,Texas,ERCOT,Gas ST/CT,8063,260,North,
Trinidad,Texas,ERCOT,Gas ST/CT,3507,244,North,
Dicks Creek,East,PJM,Gas CT,2831,155,DEOK,
